fname,tcount,t,M,r_h,rc_spitzer,N,rv,rg,Z,[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1461218,12722.249968512002,398749.9536692,4.8538765999999995,1.0087025,1600000,1.0,2.0,0.0002,-2.0,5.600700645604518,0.20781379155786533,2.036727611119703,2.2767990514977687
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1472087,13111.104746754,395756.35431066,4.8583959000000005,0.6130281999999999,1600000,1.0,2.0,0.0002,-2.0,5.597427896673753,0.12617913661585295,2.031492282398204,1.1211925311948479
N1.6e6_rv1_rg2_Z0.0002.tar.gz,1481108,13499.988294085999,392888.5552746,4.863551999999999,0.86962902,1600000,1.0,2.0,0.0002,-2.0,5.594269378128477,0.17880532993170425,2.026439684961834,1.8661601209729717
N1.6e6_rv1_rg2_Z0.02.tar.gz,1025914,10000.041121252001,472284.53124720004,3.4144269,0.44318825,1600000,1.0,2.0,0.02,0.0,5.674203721346339,0.12979872259089806,2.1543085107518802,1.1724307848082223
N1.6e6_rv1_rg2_Z0.02.tar.gz,1036609,10388.898150988,468532.36487162,3.4387693,0.49001025,1600000,1.0,2.0,0.02,0.0,5.670739596076883,0.14249581965268796,2.1487670424322154,1.3521687669672213
N1.6e6_rv1_rg2_Z0.02.tar.gz,1047674,10777.794957117998,464898.11931668,3.4642146,0.42372553,1600000,1.0,2.0,0.02,0.0,5.667357789306253,0.12231503498657387,2.143357256808148,1.0664929548803532
N1.6e6_rv1_rg2_Z0.02.tar.gz,1055988,11166.605706144002,461236.17905946,3.489029,0.47789165,1600000,1.0,2.0,0.02,0.0,5.6639233657294135,0.13696981309126408,2.1378633014898534,1.2739435424206822
N1.6e6_rv1_rg2_Z0.02.tar.gz,1063982,11555.552295308,457637.65326593997,3.5194362,0.46094179999999996,1600000,1.0,2.0,0.02,0.0,5.660521749904023,0.13097035258090486,2.1324218278519695,1.1890161829678159
N1.6e6_rv1_rg2_Z0.02.tar.gz,1071818,11944.43584264,454011.49099306,3.5441333,0.43842637,1600000,1.0,2.0,0.02,0.0,5.65706684495341,0.12370481945473101,2.12689510902916,1.08616651134187
N1.6e6_rv1_rg2_Z0.02.tar.gz,1078519,12333.316638145998,450544.12203066,3.5727842000000005,0.42868578,1600000,1.0,2.0,0.02,0.0,5.653737328092318,0.11998647441398783,2.121568970171478,1.033530240913936
